Address,Amount
UQAD1jYzpu/MJ7ogqPlLkIw7A+hWPx3o13GGAPFe7+rRuenO,477426327795878934
UQB/4oTBPxfkyiG8gbcxIOTWnebDkhbWJ4QftzzuLDrnRzVj,130000000000000000
UQBTXtxulsyKlNUsoBsTHX2bp1dGeH7ZDzIPbotSPpeHJl7E,100000000000000000
UQAB1MYaDelp3fn/z0b068UqHrKOPVVtdQJ9RPZ2KY/u4qnx,71014145057871689
UQC4LDm3aUN7tnDx5g9rQQ6areYaha+JtlHOEp3Mpp3xi3Ps,58290798327703855
UQDZNc5Yxi/i2j7/xiqH/t4F1YmtQba4HyJBfPHXo7INRYT8,18215874477407454
UQDu9ZUCPWK5wgxiW+eiWuJZKANQMhKOPrUS4ZrQO5MUdLG7,16175696535937863
UQAW+DedStOeRwawk0d35M0dKRgSdxwNvLSrQLQbdPPRNbVb,12751112134185218
UQAngveJGA+CYryz1hY7023eRCSgBJR3jHA8bJH4NGQQj24z,10929524686444472
UQBe5cTXUDlqZvbH2WeC3b64rQw4mMElUUQOwsI6Yz0Y5JFE,10750209145583443
UQAzbNs8WGH7QnYtMzbNhcR/e6KNKKY/6wa536GLEa4KdgB8,9204235122417599
UQBZFspk6Q++boH/0uLwxDZbZMoR6vRQITcGNHuRf+qyxnwo,7286349790962981
UQAk+oTRgwQdibsfDGDPelytuD+Bt+1A+mV5+NcjhKwIQv0W,5555487497187814
UQAAcjNoZJXx20FTqwLiVUo2ohJfAYuu5ujgmdCHIUEH3jqm,4824909066236881
UQCsdHoASzQycuaqfM0Ab0c0OqhE9IEzM7h6Cwqe3BA6RjCl,3643174895481490
UQBUyFBAbV5gWd7ajbDZueTtRVi+9K5/XdAkooPTTfhFUlyD,3643174895481490
UQD4bSRNHiZAkzMGCC2QlrS4JRSzS9iNJ0hyFOo0icfCRgFG,3643174895481490
UQB06a5C19JEvuSrBbU9bNUY5zZUbCN5vKseJcimauUrASiI,3643174895481490
UQBZ+nxR7/DnpzNreaPxDTHmyQ84NlUbxW7mcBX4AAKAhGmh,3643174895481490
UQD2YIfhZ6NSsRJHfto4832CcdN9rIP81+j9ojxa2RNDqMn3,3544672023815959
UQDBqA7xTqJtgFc6u+MSBwpAIxtWJwO3w0sAxQcwPDfs9jte,3101134807155964
UQCACfjVzSeCq4z8qfygQXBFOARVv8xnnINbjoG3715GwUFb,3017035455263570
UQB3+Ju8ehlp6WiuLVNd8PKSL6HewNjf4noz+BKPAMzb7pxH,2564474394584458
UQBpux3TbvSum35wk2B6f3yjXg1D6H12/1Iws+4JcxpygM/g,2550222426837043
UQD+igT/EcslfLJsSxw1mlr0pSumCZbX6GgdKdP1DIST8saX,2523984977174775
UQDypLVBh+NEjBfWj+56GPvbYKI18ui5hTLBo8a1rjDP6594,2351301597622382
UQBxSnD/0OMmjguWO0mwx0dMJki6ahmK6+yJUChzYLp31WqM,2185904937288894
UQDVllDoGDf0zGL5FstIzOFAtx2U0fZMdw/CUdtq6aMZH1BG,2185904937288894
UQCxTz2bcDCh7r7Cl2iHuckPeoVq0iBy5A9bXq1PlQxjKxG1,2185904937288894
UQDpMEnv0eYI8F99naLgp4QeY6/T0A6dQhkR3wp+MXM6tIGa,1821587447740745
UQCF1lALEnmVYoLyegDeY/wOaN0LxlZ7YbzQAD8f4pfE0f0e,1821587447740745
UQAPfjHVJtNuAGLFYiBxD9BjbgVoyYkTFV/rUEqMfH+EKiKg,1680752517721922
UQB3XvM0SBksLL8q0sgpYQwJd6OS2JpYEhxvh0AYqufdntwx,1457269958192596
UQA8EBGyQL48+GmN8YJhpggjkCD41mgD3ItjpWkW5Xz3Brcv,1270462549356680
UQB+HWq2dUBqzm9TDD/EnocfNt8vZ/JlP5Yo4fZLwFBCNt4S,1215045781150835
UQCTQ1v6tnz1Uv0e5gm7lX5+qCJDnK30dWGIcAOfDmqM3bBI,1093895853120046
UQBloNDFFGKiFQ/I9FF0E3Zi3TrKh/4RkzCb1c/fDrA0GJxs,1092952468644447
UQAD386Y/R0whERfsZqw+KymrLzulgl4tMUB/dDE9+ej3/wK,1092952468644447
UQB9N+bS16OgJy7Bclc4trPxJcfeIvNbWAXFkh0S/+DnpwOs,1089216577019663
UQCqSSAXb0q/+BF/ccOL2bm47wKJJo3o1hXVqwq4EejqNLj+,1003531637857308
